ClassPriors	56,44,0.56,0.44
attendance	3,1,0.000152098965727,4.1160732661e-05
attendees	3,1,0.000152098965727,4.1160732661e-05
attention	1,4,5.06996552423e-05,0.000164642930644
attn	1,3,5.06996552423e-05,0.000123482197983
attractive	2,2,0.000101399310485,8.23214653221e-05
audience	3,9,0.000152098965727,0.000370446593949
audio	1,3,5.06996552423e-05,0.000123482197983
audit	4,1,0.000202798620969,4.1160732661e-05
australia	4,8,0.000202798620969,0.000329285861288
australian	1,4,5.06996552423e-05,0.000164642930644
author	1,5,5.06996552423e-05,0.000205803663305
automated	1,3,5.06996552423e-05,0.000123482197983
automatically	2,7,0.000101399310485,0.000288125128627
availability	1,3,5.06996552423e-05,0.000123482197983
available	15,10,0.000760494828635,0.00041160732661
average	1,5,5.06996552423e-05,0.000205803663305
avoid	4,8,0.000202798620969,0.000329285861288
await	1,5,5.06996552423e-05,0.000205803663305
away	5,6,0.000253498276212,0.000246964395966
ax	1,3,5.06996552423e-05,0.000123482197983
axel	3,1,0.000152098965727,4.1160732661e-05
azepam	1,3,5.06996552423e-05,0.000123482197983
azurix	11,1,0.000557696207666,4.1160732661e-05
b	14,4,0.000709795173393,0.000164642930644
baby	1,3,5.06996552423e-05,0.000123482197983
back	9,19,0.000456296897181,0.00078205392056
background	3,8,0.000152098965727,0.000329285861288
backup	3,1,0.000152098965727,4.1160732661e-05
bad	3,4,0.000152098965727,0.000164642930644
bail	10,1,0.000506996552423,4.1160732661e-05
bailout	9,1,0.000456296897181,4.1160732661e-05
bank	1,8,5.06996552423e-05,0.000329285861288
banker	4,1,0.000202798620969,4.1160732661e-05
banking	5,1,0.000253498276212,4.1160732661e-05
bankruptcy	19,3,0.000963293449605,0.000123482197983
bannerco	1,5,5.06996552423e-05,0.000205803663305
bannersgomlm	1,9,5.06996552423e-05,0.000370446593949
barney	4,1,0.000202798620969,4.1160732661e-05
barrier	1,3,5.06996552423e-05,0.000123482197983
base	1,5,5.06996552423e-05,0.000205803663305
based	8,9,0.000405597241939,0.000370446593949
basis	2,5,0.000101399310485,0.000205803663305
baskets	6,1,0.000304197931454,4.1160732661e-05
batch	1,4,5.06996552423e-05,0.000164642930644
bd	1,8,5.06996552423e-05,0.000329285861288
be	108,116,0.00547556276617,0.00477464498868
bear	3,3,0.000152098965727,0.000123482197983
became	1,5,5.06996552423e-05,0.000205803663305
because	5,16,0.000253498276212,0.000658571722577
beck	5,2,0.000253498276212,8.23214653221e-05
become	1,7,5.06996552423e-05,0.000288125128627
beds	1,4,5.06996552423e-05,0.000164642930644
been	31,23,0.00157168931251,0.000946696851204
before	9,16,0.000456296897181,0.000658571722577
began	3,5,0.000152098965727,0.000205803663305
begin	1,6,5.06996552423e-05,0.000246964395966
beginning	2,4,0.000101399310485,0.000164642930644
begins	2,2,0.000101399310485,8.23214653221e-05
being	11,5,0.000557696207666,0.000205803663305
believable	1,3,5.06996552423e-05,0.000123482197983
believe	8,8,0.000405597241939,0.000329285861288
believed	3,1,0.000152098965727,4.1160732661e-05
belongs	1,3,5.06996552423e-05,0.000123482197983
below	8,10,0.000405597241939,0.00041160732661
benchmarks	4,1,0.000202798620969,4.1160732661e-05
bendickson	1,3,5.06996552423e-05,0.000123482197983
benedicta	1,3,5.06996552423e-05,0.000123482197983
benefit	3,9,0.000152098965727,0.000370446593949
benefits	4,9,0.000202798620969,0.000370446593949
berkovitz	3,1,0.000152098965727,4.1160732661e-05
best	9,20,0.000456296897181,0.000823214653221
better	4,8,0.000202798620969,0.000329285861288
between	3,6,0.000152098965727,0.000246964395966
beyond	4,1,0.000202798620969,4.1160732661e-05
big	4,8,0.000202798620969,0.000329285861288
bill	7,3,0.000354897586696,0.000123482197983
billed	1,3,5.06996552423e-05,0.000123482197983
billion	6,2,0.000304197931454,8.23214653221e-05
bills	6,2,0.000304197931454,8.23214653221e-05
bit	2,2,0.000101399310485,8.23214653221e-05
biz	1,5,5.06996552423e-05,0.000205803663305
bless	1,4,5.06996552423e-05,0.000164642930644
blessed	1,3,5.06996552423e-05,0.000123482197983
block	3,4,0.000152098965727,0.000164642930644
blocked	1,3,5.06996552423e-05,0.000123482197983
blocking	1,3,5.06996552423e-05,0.000123482197983
blues	3,1,0.000152098965727,4.1160732661e-05
bmlm	1,5,5.06996552423e-05,0.000205803663305
board	1,4,5.06996552423e-05,0.000164642930644
bob	8,1,0.000405597241939,4.1160732661e-05
body	1,10,5.06996552423e-05,0.00041160732661
bold	1,3,5.06996552423e-05,0.000123482197983
bombs	1,4,5.06996552423e-05,0.000164642930644
bonds	7,1,0.000354897586696,4.1160732661e-05
bonus	1,6,5.06996552423e-05,0.000246964395966
bonuses	1,5,5.06996552423e-05,0.000205803663305
book	3,4,0.000152098965727,0.000164642930644
books	1,3,5.06996552423e-05,0.000123482197983
both	6,11,0.000304197931454,0.000452768059271
bottom	1,3,5.06996552423e-05,0.000123482197983
bought	3,2,0.000152098965727,8.23214653221e-05
bound	1,3,5.06996552423e-05,0.000123482197983
box	1,21,5.06996552423e-05,0.000864375385882
boy	1,3,5.06996552423e-05,0.000123482197983
bp	4,1,0.000202798620969,4.1160732661e-05
br	3,1,0.000152098965727,4.1160732661e-05
brad	3,1,0.000152098965727,4.1160732661e-05
brand	1,7,5.06996552423e-05,0.000288125128627
branding	1,9,5.06996552423e-05,0.000370446593949
brazil	9,1,0.000456296897181,4.1160732661e-05
